checkpoint path: checkpoints/ic15_resnet50_bs_8_ep_60
init lr: 0.00100000
schedule:  [20, 40]
Training from scratch.

Epoch: [1 | 60] LR: 0.001000
/home/zhangyangsong/env1/lib/python3.6/site-packages/torch/nn/functional.py:2416: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/zhangyangsong/env1/lib/python3.6/site-packages/torch/nn/functional.py:2506: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
(921/1250) Batch: 1.084s | TOTAL: 17min | ETA: 6min | Loss: 0.3973 | Acc_t:  0.8038 | IOU_t:  0.6830 | IOU_k:  0.7193
(941/1250) Batch: 1.135s | TOTAL: 18min | ETA: 6min | Loss: 0.3960 | Acc_t:  0.8045 | IOU_t:  0.6842 | IOU_k:  0.7198
(961/1250) Batch: 1.181s | TOTAL: 19min | ETA: 6min | Loss: 0.3949 | Acc_t:  0.8044 | IOU_t:  0.6850 | IOU_k:  0.7199
(981/1250) Batch: 1.219s | TOTAL: 20min | ETA: 5min | Loss: 0.3947 | Acc_t:  0.8049 | IOU_t:  0.6855 | IOU_k:  0.7204
(1001/1250) Batch: 1.243s | TOTAL: 21min | ETA: 5min | Loss: 0.3930 | Acc_t:  0.8056 | IOU_t:  0.6861 | IOU_k:  0.7210
(1021/1250) Batch: 1.276s | TOTAL: 22min | ETA: 5min | Loss: 0.3919 | Acc_t:  0.8063 | IOU_t:  0.6869 | IOU_k:  0.7217
(1041/1250) Batch: 1.301s | TOTAL: 23min | ETA: 5min | Loss: 0.3901 | Acc_t:  0.8069 | IOU_t:  0.6882 | IOU_k:  0.7221
(1061/1250) Batch: 1.347s | TOTAL: 24min | ETA: 4min | Loss: 0.3894 | Acc_t:  0.8060 | IOU_t:  0.6882 | IOU_k:  0.7216
(1081/1250) Batch: 1.363s | TOTAL: 25min | ETA: 4min | Loss: 0.3880 | Acc_t:  0.8066 | IOU_t:  0.6892 | IOU_k:  0.7223
(1101/1250) Batch: 1.415s | TOTAL: 26min | ETA: 4min | Loss: 0.3882 | Acc_t:  0.8072 | IOU_t:  0.6893 | IOU_k:  0.7230
(1121/1250) Batch: 1.442s | TOTAL: 27min | ETA: 3min | Loss: 0.3883 | Acc_t:  0.8082 | IOU_t:  0.6896 | IOU_k:  0.7243
(1141/1250) Batch: 1.452s | TOTAL: 28min | ETA: 3min | Loss: 0.3870 | Acc_t:  0.8089 | IOU_t:  0.6905 | IOU_k:  0.7250
(1161/1250) Batch: 1.479s | TOTAL: 29min | ETA: 2min | Loss: 0.3858 | Acc_t:  0.8085 | IOU_t:  0.6909 | IOU_k:  0.7249
(1181/1250) Batch: 1.506s | TOTAL: 30min | ETA: 2min | Loss: 0.3848 | Acc_t:  0.8086 | IOU_t:  0.6918 | IOU_k:  0.7253
(1201/1250) Batch: 1.520s | TOTAL: 30min | ETA: 1min | Loss: 0.3839 | Acc_t:  0.8091 | IOU_t:  0.6926 | IOU_k:  0.7257
(1221/1250) Batch: 1.532s | TOTAL: 31min | ETA: 1min | Loss: 0.3827 | Acc_t:  0.8099 | IOU_t:  0.6935 | IOU_k:  0.7265
(1241/1250) Batch: 1.551s | TOTAL: 32min | ETA: 0min | Loss: 0.3816 | Acc_t:  0.8107 | IOU_t:  0.6942 | IOU_k:  0.7272

Epoch: [2 | 60] LR: 0.001000
(1/1250) Batch: 6.145s | TOTAL: 0min | ETA: 128min | Loss: 0.2261 | Acc_t:  0.9124 | IOU_t:  0.7766 | IOU_k:  0.8190
(21/1250) Batch: 1.302s | TOTAL: 0min | ETA: 27min | Loss: 0.2729 | Acc_t:  0.8570 | IOU_t:  0.7725 | IOU_k:  0.7543
(41/1250) Batch: 1.187s | TOTAL: 1min | ETA: 24min | Loss: 0.2944 | Acc_t:  0.8452 | IOU_t:  0.7638 | IOU_k:  0.7523
(61/1250) Batch: 1.150s | TOTAL: 1min | ETA: 23min | Loss: 0.2964 | Acc_t:  0.8510 | IOU_t:  0.7681 | IOU_k:  0.7583
(81/1250) Batch: 1.128s | TOTAL: 2min | ETA: 22min | Loss: 0.3052 | Acc_t:  0.8381 | IOU_t:  0.7554 | IOU_k:  0.7430
(101/1250) Batch: 1.113s | TOTAL: 2min | ETA: 21min | Loss: 0.3054 | Acc_t:  0.8395 | IOU_t:  0.7547 | IOU_k:  0.7420
(121/1250) Batch: 1.106s | TOTAL: 2min | ETA: 21min | Loss: 0.3029 | Acc_t:  0.8482 | IOU_t:  0.7583 | IOU_k:  0.7494
(141/1250) Batch: 1.098s | TOTAL: 3min | ETA: 20min | Loss: 0.3115 | Acc_t:  0.8510 | IOU_t:  0.7618 | IOU_k:  0.7514
(161/1250) Batch: 1.094s | TOTAL: 3min | ETA: 20min | Loss: 0.3086 | Acc_t:  0.8498 | IOU_t:  0.7630 | IOU_k:  0.7523
(181/1250) Batch: 1.092s | TOTAL: 3min | ETA: 19min | Loss: 0.3057 | Acc_t:  0.8493 | IOU_t:  0.7636 | IOU_k:  0.7528
(201/1250) Batch: 1.089s | TOTAL: 4min | ETA: 19min | Loss: 0.3059 | Acc_t:  0.8474 | IOU_t:  0.7613 | IOU_k:  0.7516
(221/1250) Batch: 1.086s | TOTAL: 4min | ETA: 19min | Loss: 0.3072 | Acc_t:  0.8479 | IOU_t:  0.7598 | IOU_k:  0.7538
(241/1250) Batch: 1.086s | TOTAL: 4min | ETA: 18min | Loss: 0.3077 | Acc_t:  0.8489 | IOU_t:  0.7605 | IOU_k:  0.7557
(261/1250) Batch: 1.083s | TOTAL: 5min | ETA: 18min | Loss: 0.3054 | Acc_t:  0.8492 | IOU_t:  0.7617 | IOU_k:  0.7557
(281/1250) Batch: 1.081s | TOTAL: 5min | ETA: 17min | Loss: 0.3050 | Acc_t:  0.8463 | IOU_t:  0.7601 | IOU_k:  0.7523
(301/1250) Batch: 1.081s | TOTAL: 5min | ETA: 17min | Loss: 0.3066 | Acc_t:  0.8466 | IOU_t:  0.7591 | IOU_k:  0.7536
(321/1250) Batch: 1.079s | TOTAL: 6min | ETA: 17min | Loss: 0.3084 | Acc_t:  0.8469 | IOU_t:  0.7565 | IOU_k:  0.7556
(341/1250) Batch: 1.079s | TOTAL: 6min | ETA: 16min | Loss: 0.3085 | Acc_t:  0.8462 | IOU_t:  0.7569 | IOU_k:  0.7563
(361/1250) Batch: 1.079s | TOTAL: 6min | ETA: 16min | Loss: 0.3059 | Acc_t:  0.8467 | IOU_t:  0.7583 | IOU_k:  0.7569
(381/1250) Batch: 1.078s | TOTAL: 7min | ETA: 16min | Loss: 0.3056 | Acc_t:  0.8470 | IOU_t:  0.7586 | IOU_k:  0.7575
(401/1250) Batch: 1.077s | TOTAL: 7min | ETA: 15min | Loss: 0.3043 | Acc_t:  0.8478 | IOU_t:  0.7594 | IOU_k:  0.7584
(421/1250) Batch: 1.076s | TOTAL: 8min | ETA: 15min | Loss: 0.3036 | Acc_t:  0.8474 | IOU_t:  0.7578 | IOU_k:  0.7590
(441/1250) Batch: 1.076s | TOTAL: 8min | ETA: 15min | Loss: 0.3031 | Acc_t:  0.8479 | IOU_t:  0.7582 | IOU_k:  0.7607
(461/1250) Batch: 1.075s | TOTAL: 8min | ETA: 14min | Loss: 0.3027 | Acc_t:  0.8483 | IOU_t:  0.7589 | IOU_k:  0.7616
(481/1250) Batch: 1.075s | TOTAL: 9min | ETA: 14min | Loss: 0.3043 | Acc_t:  0.8473 | IOU_t:  0.7586 | IOU_k:  0.7607
(501/1250) Batch: 1.075s | TOTAL: 9min | ETA: 13min | Loss: 0.3034 | Acc_t:  0.8473 | IOU_t:  0.7595 | IOU_k:  0.7612
(521/1250) Batch: 1.075s | TOTAL: 9min | ETA: 13min | Loss: 0.3018 | Acc_t:  0.8485 | IOU_t:  0.7609 | IOU_k:  0.7622
(541/1250) Batch: 1.074s | TOTAL: 10min | ETA: 13min | Loss: 0.3026 | Acc_t:  0.8494 | IOU_t:  0.7614 | IOU_k:  0.7627
